Sr_t_m	opad	il_mieszk	dynPKB	dni_rob	E_r_3_t	E_r_2_t	E_r_1_t	E_r_t_3	E_r_t_2	E_r_t_1	miesiac	E_r_t
0,1	48	1642,7	103,8	21	447554	402472	371403	314665	352465	387345	1	364622
0,9	25	1642,7	103,8	24	398376	383104	371337	387345	364622	394441	3	388493
9	24	1642,7	103,8	22	363971	293814	357254	364622	394441	388493	4	346306
16,5	39	1642,7	103,8	21	337932	300611	308076	394441	388493	346306	5	335755
15,6	51	1642,7	103,8	22	320009	306714	325604	388493	346306	335755	6	307305
16,8	67	1642,7	103,8	23	312481	303739	280197	346306	335755	307305	7	319428
12	37	1642,7	103,8	23	403866	263538	305050	307305	319428	293296	9	331978
7,8	23	1642,7	103,8	22	349072	322515	314665	319428	293296	331978	10	320929
-2,7	19	1642,7	103,8	21	374233	355773	352465	293296	331978	320929	11	342668
2	40	1640,7	105,2	22	402472	371403	364622	320929	342668	402942	1	359121
-2,6	9	1640,7	105,2	21	382288	391511	394441	342668	402942	359121	2	426415
3,7	65	1640,7	105,2	24	383104	371337	388493	402942	359121	426415	3	416067
9,1	93	1640,7	105,2	22	293814	357254	346306	359121	426415	416067	4	343952
12,4	89	1640,7	105,2	22	300611	308076	335755	426415	416067	343952	5	376307
15,8	20	1640,7	105,2	22	306714	325604	307305	416067	343952	376307	6	332272
18,3	73	1640,7	105,2	23	289351	312897	293296	376307	332272	290245	8	329238
14,5	59	1640,7	105,2	23	263538	305050	331978	332272	290245	329238	9	303258
6,5	69	1640,7	105,2	22	322515	314665	320929	290245	329238	303258	10	346322
0,6	65	1640,7	105,2	23	378283	387345	402942	303258	346322	347225	12	379959
-1,7	25	1635,1	107	23	371403	364622	359121	346322	347225	379959	1	405926
3,2	35	1635,1	107	21	391511	394441	426415	347225	379959	405926	2	382015
2,9	34	1635,1	107	24	371337	388493	416067	379959	405926	382015	3	392046
12,6	45	1635,1	107	22	308076	335755	376307	382015	392046	394763	5	344251
17,3	77	1635,1	107	22	325604	307305	332272	392046	394763	344251	6	334709
20,1	61	1635,1	107	22	280197	319428	290245	394763	344251	334709	7	298755
13,4	138	1635,1	107	23	305050	331978	303258	334709	298755	311724	9	309161
9,9	18	1635,1	107	23	314665	320929	346322	298755	311724	309161	10	353604
-0,2	25	1635,1	107	21	352465	342668	347225	311724	309161	353604	11	385204
-5,3	16	1635,1	107	21	387345	402942	379959	309161	353604	385204	12	611535
-5,8	5	1628,5	106	23	364622	359121	405926	353604	385204	611535	1	344793
-5,6	17	1628,5	106	22	394441	426415	382015	385204	611535	344793	2	395253
8,2	29	1628,5	106	22	346306	343952	394763	344793	395253	442815	4	402854
15,1	61	1628,5	106	21	335755	376307	344251	395253	442815	402854	5	353538
16,1	100	1628,5	106	24	319428	290245	298755	402854	353538	336806	7	320541
18,6	72	1628,5	106	23	293296	329238	311724	353538	336806	320541	8	308308
10,6	64	1628,5	106	22	331978	303258	309161	336806	320541	308308	9	328816
9,2	27	1628,5	106	24	320929	346322	353604	320541	308308	328816	10	380312
6	25	1628,5	106	21	342668	347225	385204	308308	328816	380312	11	392746
-5,4	6	1628,5	106	21	402942	379959	611535	328816	380312	392746	12	557809
-4,4	1	1624,8	106,8	23	359121	405926	344793	380312	392746	557809	1	426153
1,7	21	1624,8	106,8	21	426415	382015	395253	392746	557809	426153	2	421906
2,7	24	1624,8	106,8	21	416067	392046	442815	557809	426153	421906	3	416129
13,7	57	1624,8	106,8	21	376307	344251	353538	421906	416129	426182	5	353209
16,6	61	1624,8	106,8	22	332272	334709	336806	416129	426182	353209	6	347627
17,9	214	1624,8	106,8	23	290245	298755	320541	426182	353209	347627	7	333829
19,1	23	1624,8	106,8	21	329238	311724	308308	353209	347627	333829	8	325922
6,1	55	1624,8	106,8	24	346322	353604	380312	333829	325922	342391	10	402519
2,8	39	1624,8	106,8	20	347225	385204	392746	325922	342391	402519	11	434169
-0,2	28	1624,8	106,8	22	379959	611535	557809	342391	402519	434169	12	542223
0,3	22	1618,5	104,8	21	405926	344793	426153	402519	434169	542223	1	479627
3,2	43	1618,5	104,8	20	382015	395253	421906	434169	542223	479627	2	477427
9,9	56	1618,5	104,8	20	394763	402854	426182	479627	477427	471755	4	425593
14,6	45	1618,5	104,8	20	344251	353538	353209	477427	471755	425593	5	369851
17,7	114	1618,5	104,8	21	334709	336806	347627	471755	425593	369851	6	328777
17,7	94	1618,5	104,8	23	298755	320541	333829	425593	369851	328777	7	306001
16,4	52	1618,5	104,8	21	311724	308308	325922	369851	328777	306001	8	306591
13,2	24	1618,5	104,8	22	309161	328816	342391	328777	306001	306591	9	352442
-1,9	40	1618,5	104,8	20	385204	392746	434169	306591	352442	427476	11	461859
-2,5	31	1618,5	104,8	22	611535	557809	542223	352442	427476	461859	12	544538
-1,3	29	1615,4	104,1	20	395253	421906	477427	461859	544538	488415	2	482969
4,6	23	1615,4	104,1	23	442815	416129	471755	544538	488415	482969	3	482031
10	75	1615,4	104,1	20	402854	426182	425593	488415	482969	482031	4	412568
18,1	121	1615,4	104,1	21	336806	347627	328777	482031	412568	383246	6	347610
20,4	24	1615,4	104,1	22	320541	333829	306001	412568	383246	347610	7	328840	
									
