    Sr_t_m      opad il_mieszk    dynPKB   dni_rob   E_r_3_t   E_r_2_t   E_r_1_t   E_r_t_3   E_r_t_2   E_r_t_1   miesiac          E_r_t    -E_r_t
      -1,5        17    1642,7     103,8        21    384242    382288    391511    352465    387345    364622         2         382405   -382866
      16,6        38    1642,7     103,8        23    314582    289351    312897    335755    307305    319428         8         341649   -344484
         2        66    1642,7     103,8        24    397386    378283    387345    331978    320929    342668        12         421912   -426176
        22        32    1640,7     105,2        22    303739    280197    319428    343952    376307    332272         7         371905   -375287
       3,6        39    1640,7     105,2        21    355773    352465    342668    329238    303258    346322        11         417989   -422827
       7,8        46    1635,1       107        21    357254    346306    343952    405926    382015    392046         4         446183   -449284
      18,6        54    1635,1       107        22    312897    293296    329238    344251    334709    298755         8         336803   -341461
      16,6        36    1628,5       106        20    307305    332272    334709    442815    402854    353538         6         394815   -399701
         5        27    1624,8     106,8        23    343952    394763    402854    426153    421906    416129         4         414697   -418200
        13        38    1624,8     106,8        23    303258    309161    328816    347627    333829    325922         9         391482   -397201
       1,8        41    1618,5     104,8        22    392046    442815    416129    542223    479627    477427         3         455118   -460882
       7,7        55    1618,5     104,8        22    353604    380312    402519    306001    306591    352442        10         419238   -421094
      -0,2        21    1615,4     104,1        20    344793    426153    479627    427476    461859    544538         1         514428   -510986
      12,2        46    1615,4     104,1        20    353538    353209    369851    482969    482031    412568         5         398014   -401475
